IT Tower,Service Family,Service Type,Service Sub Type,Service Usage Type,Meter Category,Meter Sub-Category,Meter Name,Consumed Service,[AdditionalInfo],,,
Cloud Services,Analytics,Azure Data Factory,Data Movement Self Hosted IR,Self Hosted Integration Runtime,Azure Data Factory,v2,Data Movement Self Hosted IR,Microsoft.DataFactory,,,,
Cloud Services,Analytics,Azure Data Factory,Orchestration Self Hosted IR,Self Hosted Integration Runtime,Azure Data Factory,v2,Orchestration Self Hosted IR,Microsoft.DataFactory,,,,
Cloud Services,Analytics,Azure Data Factory,Data Processing,Process Runtime,Azure Data Factory,v2,%,Microsoft.DataFactory,,,,
Cloud Services,Analytics,Azure Data Factory,Data Movement Cloud IR,Cloud Integration Runtime,Azure Data Factory,v2,Data Movement Cloud IR,Microsoft.DataFactory,,,,
Cloud Services,Analytics,Azure Data Factory,Orchestration Cloud IR,Cloud Integration Runtime,Azure Data Factory,v2,Orchestration Cloud IR,Microsoft.DataFactory,,,,
Cloud Services,Analytics,Azure Data Factory,SSIS Standard D4 v2 Instance,SSIS Runtime,Azure Data Factory,v2,SSIS STD D4 v2,Microsoft.DataFactory,,,ЧТОБ У ЭТОГО ПРОВЕРЯЮЩЕГО ДИПЛОМ НЕ ПРИНЯЛИ  И ОТЧИСЛИЛИ ЕГО!!!!,КУРАШОВА НЕ ТАКАЯ ДАЖЕ ЗЛАЯ КАК ОНИ
Database,Microsoft Azure Database,Azure Database,MySQL Database,MySQL Using,Azure Database for PostgreSQL,,,Microsoft.DBforMyQL,,,,ТВАРИ
Database,Microsoft Azure Database,Azure Database,PostgreSQL Database,PostgreSQL Using,Azure Database for PostgreSQL,,,Microsoft.DBforPostgreSQL,,,,
Cloud Services,Analytics,Azure Databricks,Data Analytics,Data Preparation and Analysis,Azure Databricks,,%Data Analytics%,Microsoft.Databricks,,,,
Cloud Services,Analytics,Azure Databricks,Data Engineering ,ETL and Data Pipelines,Azure Databricks,,%Data Engineering%,Microsoft.Databricks,,,,
Database,Database,Azure Redis Cache,In-Memory Data Storage,Cache  Usage,Cache,Azure Redis Cache,,Microsoft.Cache,,,,
Database,Database,Azure Redis Cache,In-Memory Data Storage,Cache for Basic/Standart Tier,Redis Cache,,C%,Microsoft.Cache,,,,
Database,Database,Azure Redis Cache,In-Memory Data Storage,Cache for Basic/Standart Tier,Redis Cache,,___C%,Microsoft.Cache,,,,
Networking,Content Delivery Network,Azure CDN,Standart CDN,Data Transfer,CDN,CDN,Standard CDN Data Transfer%,Microsoft.Cdn,,,,
Networking,Content Delivery Network,Azure CDN,Azure CDN,Data Transfer,Content Delivery Network,Azure CDN%,%Data Transfer,Microsoft.Cdn,,,,
Compute,Azure Container Services,Azure Container Instances,Compute Resources,Core Duration,Container Instances,Container Instances,Core Duration,Microsoft.ContainerInstance,,,,
Compute,Azure Container Services,Azure Container Instances,Compute Resources,Duration,Container Instances,Container Instances,Duration,Microsoft.ContainerInstance,,,,
Compute,Azure Container Services,Azure Container Instances,Compute Resources,Executions,Container Instances,Container Instances,Executions,Microsoft.ContainerInstance,,,,
Compute,Azure Container Services,Azure Container Instances,Compute Resources,Memory Usage,Container Instances,,Memory Duration,Microsoft.ContainerInstance,,,,
Compute,Azure Container Services,Azure Container Instances,Compute Resources,vCPU Usage,Container Instances,,vCPU Duration,Microsoft.ContainerInstance,,,,
AI/ML Services,Machine Learning Services,Azure Machine Learning ,Production Web API,API Processing,Machine Learning Studio,Production Web API,,Microsoft.MachineLearning,,,,
